Dataset,CPU Acc. (%),GPU Acc. (%),NPU Acc. (%),CPU Lat. (ms/img),GPU Lat. (ms/img),NPU Lat. (ms/img),GPU/CPU Speedup,NPU/CPU Speedup,NPU/GPU Latency Ratio,NPU Faster Than GPU (count),GPU/CPU Ratio From Mean Latencies,NPU/CPU Ratio From Mean Latencies,NPU/GPU Ratio From Mean Latencies
EuroSAT,98.19135783333333,98.19444424999999,98.20370358333332,12.3984045,6.226751749999999,3.635461916666667,2.156440180787716,4.542860109254583,0.6805077933916776,10,1.9911512451094588,3.4104069260524734,0.5838456490041806
AID,95.83333333333333,95.82499999999999,95.80833333333334,12.436593583333334,6.421456583333334,4.460729583333333,2.0355871976889017,3.0984811001080885,0.8325322212048648,9,1.9367247013103037,2.7880178233175794,0.694660086141671
RESISC45,94.89418,94.88095249999999,94.87566150000002,11.889701916666668,6.267116583333333,3.623484,2.038832977655871,4.436303043568338,0.6609392251663948,10,1.8971566522770529,3.281290028234337,0.5781740217879836
