dataset,model,model_display,model_family,params_million,pth_size_mb,cpu_accuracy_percent,gpu_accuracy_percent,npu_accuracy_percent,cpu_gpu_accuracy_diff_pp,npu_gpu_accuracy_diff_pp,cpu_mean_latency_ms,gpu_mean_latency_ms,npu_mean_latency_ms,cpu_median_latency_ms,gpu_median_latency_ms,npu_median_latency_ms,cpu_p95_latency_ms,gpu_p95_latency_ms,npu_p95_latency_ms,cpu_fps,gpu_fps,npu_fps,gpu_cpu_speedup,npu_cpu_speedup,npu_gpu_latency_ratio,gpu_npu_latency_ratio,fastest_accelerator,cpu_runtime,gpu_runtime,npu_runtime
AID,resnet18,ResNet18,Residual CNN,11.191902,42.77119,95.4,95.4,95.4,0.0,0.0,6.547821,2.13429,3.054891,6.34715,1.8837,2.96955,8.06797,3.895565,3.31802,152.72257,468.539831,327.343972,3.067915325471234,2.1433894040736643,1.4313382904853604,0.6986468584312828,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,mobilenet_v2,MobileNetV2,Mobile CNN,2.262302,8.869212,95.4,95.4,95.4,0.0,0.0,7.800337,3.696359,2.301115,7.5521,3.59285,2.31545,9.67695,4.59761,2.35571,128.199584,270.536483,434.572005,2.110275814659777,3.3898075498182405,0.6225355816358745,1.6063338859639786,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,mobilenet_v3_small,MobileNetV3-Small,Mobile CNN,1.548606,6.0412,94.2,94.2,94.1,0.0,-0.10000000000000853,5.02474,4.019271,2.395453,4.81745,3.9155,2.413,6.36487,4.80191,2.4579,199.015288,248.801335,417.457621,1.2501620318709539,2.097615774552872,0.5959919099757145,1.6778751242458108,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,mobilenet_v3_large,MobileNetV3-Large,Mobile CNN,4.240462,16.379727,95.3,95.3,95.3,0.0,0.0,8.122517,4.765544,3.23761,7.89605,4.66515,3.2497,9.93997,5.50325,3.31671,123.114545,209.839634,308.869783,1.704425979489435,2.5088003187536487,0.6793788914759784,1.4719326910900326,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,efficientnet_b0,EfficientNet-B0,Efficient CNN,4.045978,15.726718,95.8,95.8,95.7,0.0,-0.09999999999999432,11.264282,6.290687,3.235271,11.0246,6.22215,3.2198,13.309515,7.159115,3.384105,88.776187,158.965145,309.093143,1.7906282731917833,3.4817120420515004,0.5142953384900568,1.944408057315755,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,efficientnet_v2_s,EfficientNetV2-S,Efficient CNN,20.215918,77.993472,95.7,95.7,95.7,0.0,0.0,27.532357,12.536177,6.594876,27.06105,12.44905,6.5266,31.343065,13.58433,7.19016,36.3209,79.769135,151.632875,2.19623231229106,4.174810413417933,0.5260675563211974,1.9008965445294195,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,shufflenet_v2_x1_0,ShuffleNetV2,Lightweight CNN,1.284354,5.076282,95.4,95.4,95.4,0.0,0.0,7.751785,4.766004,2.750738,7.5558,4.72445,2.74695,9.68743,5.28525,2.838715,129.002538,209.819398,363.538829,1.626474715505904,2.818074640332885,0.577158139187462,1.7326273894496675,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,convnext_tiny,ConvNeXt-Tiny,Modern CNN,27.843198,106.280643,97.0,97.0,97.0,0.0,0.0,14.879667,4.27219,11.192537,14.48835,4.09485,11.0915,18.51283,5.23656,11.770365,67.205807,234.071988,89.345247,3.4829132131295655,1.3294275462301353,2.6198593695505115,0.38169987733790833,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,repvit_m0_9,RepViT-M0.9,Recent Lightweight Vision Model,4.742428,18.542415,96.6,96.6,96.6,0.0,0.0,17.726821,9.123598,3.662251,17.4031,8.92385,3.6656,21.044205,10.58173,3.8226,56.411694,109.605883,273.056114,1.942963839485256,4.840416727307877,0.40140424863085816,2.4912541494288623,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,starnet_s4,StarNet-S4,Recent Lightweight CNN,7.233438,27.820937,96.8,96.8,96.8,0.0,0.0,16.39544,7.359825,3.590895,16.11685,7.1463,3.5848,19.47667,8.643775,3.73501,60.99257,135.872795,278.482118,2.2276942726219713,4.5658366507514145,0.48790494339199647,2.0495795616413175,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,shvit_s4,SHViT-S4,Recent Efficient Vision Model,16.152954,62.168175,95.1,95.0,95.0,0.09999999999999432,0.0,14.644756,11.515415,3.310297,14.36815,11.35375,3.3338,16.97757,12.91908,3.54281,68.283829,86.840119,302.08771,1.2717523424036388,4.42400062592571,0.2874665828370058,3.4786652073816944,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
AID,mambaout_kobe,MambaOut-Kobe,Recent Mamba-inspired Vision Model,8.022798,30.685409,97.3,97.3,97.3,0.0,0.0,11.5486,6.578119,8.202821,11.13505,6.45425,8.13305,14.701275,7.35801,8.708405,86.590586,152.01915,121.909277,1.7556082521462444,1.4078815080811833,1.2469858024763614,0.801933749377196,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,resnet18,ResNet18,Residual CNN,11.199597,42.801158,94.31746,94.31746,94.285714,0.0,-0.031745999999998276,6.885485,1.89787,1.564379,6.7629,1.8684,1.5531,8.113545,2.181065,1.742375,145.233046,526.906406,639.231133,3.6280066600978995,4.401417431453631,0.8242814312887605,1.2131778808076559,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,mobilenet_v2,MobileNetV2,Mobile CNN,2.281517,8.944041,94.603175,94.603175,94.571429,0.0,-0.031745999999998276,7.64372,3.800445,1.044791,7.45465,3.57675,1.044,9.2026,5.56439,1.117155,130.826349,263.127098,957.12953,2.0112697328865434,7.3160277988612075,0.2749128062634771,3.6375169770796263,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,mobilenet_v3_small,MobileNetV3-Small,Mobile CNN,1.563981,6.101047,92.730159,92.698413,92.761905,0.031745999999998276,0.06349199999999655,4.837658,4.012755,1.172344,4.66615,3.76945,1.1869,6.14129,5.978585,1.2144,206.71158,249.205321,852.992101,1.205570237903884,4.126483353009014,0.29215439268034055,3.4228477307002043,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,mobilenet_v3_large,MobileNetV3-Large,Mobile CNN,4.259677,16.454547,94.730159,94.634921,94.603175,0.09523799999999483,-0.031746000000012486,7.829065,4.670427,1.63715,7.67125,4.4623,1.636,9.21533,6.202465,1.6717,127.729181,214.113164,610.817556,1.6763060422526677,4.782130531716702,0.3505354007246019,2.8527789145771614,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,efficientnet_b0,EfficientNet-B0,Efficient CNN,4.065193,15.801888,95.396825,95.396825,95.365079,0.0,-0.031746000000012486,11.035178,6.043599,2.776248,10.8588,5.78745,2.7762,12.73817,7.269855,2.8155,90.619292,165.464309,360.198396,1.8259282258799765,3.9748531111053484,0.45936998798232637,2.176894499338676,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,efficientnet_v2_s,EfficientNetV2-S,Efficient CNN,20.235133,78.070533,96.0,96.031746,96.031746,-0.031745999999998276,0.0,26.504086,12.264774,6.478846,26.01075,11.91515,6.4838,30.541915,14.498005,6.5433,37.730032,81.534319,154.348469,2.160992611849187,4.090865255942185,0.5282482987456597,1.8930491633849607,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,shufflenet_v2_x1_0,ShuffleNetV2,Lightweight CNN,1.299729,5.136638,94.0,94.031746,93.968254,-0.031745999999998276,-0.06349199999999655,7.274453,4.756593,1.378885,7.09635,4.52875,1.3784,8.658925,5.894165,1.42031,137.467379,210.234523,725.223488,1.529341064076746,5.275605289781237,0.2898892127201129,3.449593693455219,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,convnext_tiny,ConvNeXt-Tiny,Modern CNN,27.854733,106.325545,95.650794,95.650794,95.650794,0.0,0.0,14.261602,4.059066,10.979647,13.9776,3.9167,11.0287,16.77062,4.742265,11.181,70.11835,246.362114,91.077612,3.513518134467388,1.2989126153144996,2.704968827804229,0.369690027375197,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,repvit_m0_9,RepViT-M0.9,Recent Lightweight Vision Model,4.753978,18.589911,95.714286,95.68254,95.746032,0.031745999999998276,0.06349199999999655,16.651981,8.876766,3.199952,16.2617,8.6232,3.1856,18.801155,10.422375,3.2793,60.052917,112.653642,312.504668,1.8759062703691862,5.203822119831797,0.3604862401464678,2.774030985464782,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,starnet_s4,StarNet-S4,Recent Lightweight CNN,7.237293,27.838069,94.730159,94.698413,94.666667,0.031745999999998276,-0.031745999999998276,15.143493,7.02196,3.15274,14.74765,6.73625,3.158,17.27571,8.42312,3.2181,66.034963,142.410386,317.184419,2.1565906100291086,4.80328000405996,0.4489829050578471,2.2272562913529184,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,shvit_s4,SHViT-S4,Recent Efficient Vision Model,16.159689,62.197171,94.984127,94.952381,94.952381,0.031745999999998276,0.0,13.533511,11.174475,2.055242,13.32545,11.0104,2.0533,15.318755,12.499975,2.0841,73.890657,89.489666,486.560727,1.2111093362327985,6.584874676558771,0.18392291360444227,5.437060453221568,NPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
RESISC45,mambaout_kobe,MambaOut-Kobe,Recent Mamba-inspired Vision Model,8.040093,30.752465,95.873016,95.873016,95.904762,0.0,0.031745999999998276,11.076191,6.626669,8.041584,10.70045,6.39035,8.09,13.76471,7.85304,8.22821,90.283744,150.905391,124.353603,1.6714568058250685,1.3773643351857046,1.2135182849784711,0.8240502119980342,GPU,PyTorch CPU FP32,PyTorch CUDA FP32,ONNX Runtime + OpenVINO EP
